Date,Flow
3/28/2015 0:00,882
3/28/2015 0:15,861
3/28/2015 0:30,839
3/28/2015 0:45,860
3/28/2015 1:00,872
3/28/2015 1:15,886
3/28/2015 1:30,919
3/28/2015 1:45,885
3/28/2015 2:00,885
3/28/2015 2:15,856
3/28/2015 2:30,835
3/28/2015 2:45,855
3/28/2015 3:00,841
3/28/2015 3:15,854
3/28/2015 3:30,867
3/28/2015 3:45,867
3/28/2015 4:00,852
3/28/2015 4:15,879
3/28/2015 4:30,851
3/28/2015 4:45,851
3/28/2015 5:00,823
3/28/2015 5:15,882
3/28/2015 5:30,820
3/28/2015 5:45,834
3/28/2015 6:00,1000
3/28/2015 6:15,826
3/28/2015 6:30,859
3/28/2015 6:45,838
3/28/2015 7:00,858
3/28/2015 7:15,836
3/28/2015 7:30,835
3/28/2015 7:45,807
3/28/2015 8:00,807
3/28/2015 8:15,806
3/28/2015 8:30,900
3/28/2015 8:45,812
3/28/2015 9:00,797
3/28/2015 9:15,823
3/28/2015 9:30,795
3/28/2015 9:45,807
3/28/2015 10:00,839
3/28/2015 10:15,806
3/28/2015 10:30,785
3/28/2015 10:45,791
3/28/2015 11:00,790
3/28/2015 11:15,755
3/28/2015 11:30,1000
3/28/2015 11:45,807
3/28/2015 12:00,833
3/28/2015 12:15,785
3/28/2015 12:30,791
3/28/2015 12:45,770
3/28/2015 13:00,775
3/28/2015 13:15,794
3/28/2015 13:30,773
3/28/2015 13:45,785
3/28/2015 14:00,784
3/28/2015 14:15,790
3/28/2015 14:30,769
3/28/2015 14:45,781
3/28/2015 15:00,767
3/28/2015 15:15,766
3/28/2015 15:30,771
3/28/2015 15:45,789
3/28/2015 16:00,788
3/28/2015 16:15,767
3/28/2015 16:30,747
3/28/2015 16:45,778
3/28/2015 17:00,795
3/28/2015 17:15,762
3/28/2015 17:30,736
3/28/2015 17:45,747
3/28/2015 18:00,765
3/28/2015 18:15,758
3/28/2015 18:30,712
3/28/2015 18:45,743
3/28/2015 19:00,779
3/28/2015 19:15,740
3/28/2015 19:30,758
3/28/2015 19:45,749
3/28/2015 20:00,749
3/28/2015 20:15,723
3/28/2015 20:30,715
3/28/2015 20:45,714
3/28/2015 21:00,775
3/28/2015 21:15,730
3/28/2015 21:30,747
3/28/2015 21:45,759
3/28/2015 22:00,745
3/28/2015 22:15,726
3/28/2015 22:30,712
3/28/2015 22:45,722
